Price,Zip,City,State,Beds,Baths,Footage
432900.0,80923,Colorado Springs,CO,3,3,2518
850000.0,80923,Colorado Springs,CO,4,4,3547
629000.0,80923,Colorado Springs,CO,4,3,3793
515000.0,80923,Colorado Springs,CO,4,4,2626
439000.0,80923,Colorado Springs,CO,3,2,1152
500000.0,80923,Colorado Springs,CO,3,3,2228
484500.0,80923,Colorado Springs,CO,3,2,3056
525000.0,80923,Colorado Springs,CO,3,3,3000
540000.0,80923,Colorado Springs,CO,4,3,2860
397000.0,80923,Colorado Springs,CO,3,2,1566
512500.0,80923,Colorado Springs,CO,5,4,3166
465000.0,80923,Colorado Springs,CO,3,2,1448
630000.0,80923,Colorado Springs,CO,5,4,3816
595000.0,80923,Colorado Springs,CO,5,3,3425
549900.0,80923,Colorado Springs,CO,6,4,3348
575000.0,80923,Colorado Springs,CO,4,4,3846
470000.0,80923,Colorado Springs,CO,4,3,2450
185000.0,80922,Colorado Springs,CO,3,2,1220
274900.0,80922,Colorado Springs,CO,3,2,1508
439900.0,80922,Colorado Springs,CO,4,4,2031
210000.0,80922,Colorado Springs,CO,2,2,1361
275932.0,80922,Colorado Springs,CO,3,2,1508
285932.0,80922,Colorado Springs,CO,3,2,1508
215000.0,80922,Colorado Springs,CO,2,2,1339
539500.0,80922,Colorado Springs,CO,4,3,2720
407000.0,80922,Colorado Springs,CO,2,3,1606
415000.0,80922,Colorado Springs,CO,4,3,1753
411000.0,80922,Colorado Springs,CO,3,2,2359
459900.0,80922,Colorado Springs,CO,4,4,2312
415000.0,80922,Colorado Springs,CO,3,3,2358
415000.0,80922,Colorado Springs,CO,4,4,2261
446200.0,80922,Colorado Springs,CO,3,3,1792
580000.0,80922,Colorado Springs,CO,6,4,3615
445000.0,80922,Colorado Springs,CO,3,4,2302
550000.0,80922,Colorado Springs,CO,6,4,3579
430000.0,80922,Colorado Springs,CO,4,3,2155
450000.0,80922,Colorado Springs,CO,4,4,1952
375000.0,80922,Colorado Springs,CO,3,2,1539
499900.0,80922,Colorado Springs,CO,5,4,2927
395000.0,80922,Colorado Springs,CO,4,2,1656
464900.0,80922,Colorado Springs,CO,4,4,2271
645000.0,80922,Colorado Springs,CO,5,5,4516
387900.0,80922,Colorado Springs,CO,3,2,1720
585000.0,80922,Colorado Springs,CO,5,4,3432
430000.0,80922,Colorado Springs,CO,4,3,1923
435000.0,80922,Colorado Springs,CO,3,3,2737
499000.0,80922,Colorado Springs,CO,5,4,2605
420000.0,80922,Colorado Springs,CO,3,3,1750
440000.0,80922,Colorado Springs,CO,4,4,1966
595000.0,80922,Colorado Springs,CO,5,4,3316
465000.0,80922,Colorado Springs,CO,3,3,2388
429500.0,80922,Colorado Springs,CO,4,3,1812
559900.0,80922,Colorado Springs,CO,6,4,3160
580000.0,80922,Colorado Springs,CO,5,4,3520
455000.0,80922,Colorado Springs,CO,4,3,1851
472500.0,80922,Colorado Springs,CO,3,3,1710
460000.0,80922,Colorado Springs,CO,4,4,2272
534972.0,80922,Colorado Springs,CO,4,4,2966

