Price,Zip,City,State,Beds,Baths,Footage
427000.0,80915,Colorado Springs,CO,5,2,2120
449900.0,80915,Colorado Springs,CO,3,3,1634
639525.0,80915,Colorado Springs,CO,4,4,4566
408000.0,80915,Colorado Springs,CO,3,2,1490
487500.0,80915,Colorado Springs,CO,5,4,2449
357000.0,80915,Colorado Springs,CO,3,1,1163
449900.0,80915,Colorado Springs,CO,5,2,2480
539900.0,80915,Colorado Springs,CO,4,2,2055
535000.0,80915,Colorado Springs,CO,4,3,2557
386000.0,80915,Colorado Springs,CO,3,2,1410
434900.0,80915,Colorado Springs,CO,4,2,1912
529900.0,80915,Colorado Springs,CO,5,4,3078
579900.0,80915,Colorado Springs,CO,4,3,3471
384950.0,80915,Colorado Springs,CO,3,3,1438
388950.0,80915,Colorado Springs,CO,3,3,1470
385000.0,80916,Colorado Springs,CO,3,3,1844
350000.0,80916,Colorado Springs,CO,3,2,2444
360000.0,80916,Colorado Springs,CO,3,2,1342
369000.0,80916,Colorado Springs,CO,3,3,1542
425000.0,80916,Colorado Springs,CO,3,4,2040
399000.0,80916,Colorado Springs,CO,5,3,2524
359000.0,80916,Colorado Springs,CO,3,2,1654
385000.0,80916,Colorado Springs,CO,3,2,1348
395000.0,80916,Colorado Springs,CO,3,3,1571
400000.0,80916,Colorado Springs,CO,4,2,1666
364900.0,80916,Colorado Springs,CO,3,3,1313
350000.0,80916,Colorado Springs,CO,4,2,1696
415000.0,80916,Colorado Springs,CO,3,4,2026
380000.0,80916,Colorado Springs,CO,4,2,1968
339000.0,80916,Colorado Springs,CO,3,2,1308
374900.0,80916,Colorado Springs,CO,3,2,1296
315000.0,80916,Colorado Springs,CO,3,1,1010
394500.0,80916,Colorado Springs,CO,3,3,1921
364900.0,80916,Colorado Springs,CO,3,2,1174
369995.0,80916,Colorado Springs,CO,4,2,1576
399000.0,80916,Colorado Springs,CO,4,2,1636
365000.0,80916,Colorado Springs,CO,3,2,1544
359900.0,80916,Colorado Springs,CO,3,2,1148
399950.0,80916,Colorado Springs,CO,4,3,2160
380000.0,80916,Colorado Springs,CO,3,2,1396
360000.0,80916,Colorado Springs,CO,3,2,1204
455000.0,80916,Colorado Springs,CO,4,3,2290
410000.0,80916,Colorado Springs,CO,3,3,2190
365000.0,80916,Colorado Springs,CO,3,2,1334
369000.0,80916,Colorado Springs,CO,3,2,1213
394999.0,80916,Colorado Springs,CO,3,2,1398
395000.0,80916,Colorado Springs,CO,5,2,1584
368999.0,80916,Colorado Springs,CO,3,1,1064
425000.0,80916,Colorado Springs,CO,3,2,1926
425000.0,80916,Colorado Springs,CO,4,3,1725
375000.0,80916,Colorado Springs,CO,3,2,1334
310000.0,80916,Colorado Springs,CO,3,1,894
425000.0,80916,Colorado Springs,CO,3,3,1367
434888.0,80916,Colorado Springs,CO,3,3,1674
479900.0,80916,Colorado Springs,CO,5,4,2545
450000.0,80916,Colorado Springs,CO,4,3,1816
